,img_path,lbl_path,blacklisted,comment,relabeled,folder_name,file_name,Pupil,Surgical Tape,Hand,Eye Retractors,Iris,Skin,Cornea,Hydrodissection Cannula,Viscoelastic Cannula,Capsulorhexis Cystotome,Rycroft Cannula,Bonn Forceps,Primary Knife,Phacoemulsifier Handpiece,Lens Injector,I/A Handpiece,Secondary Knife,Micromanipulator,I/A Handpiece Handle,Capsulorhexis Forceps,Rycroft Cannula Handle,Phacoemulsifier Handpiece Handle,Capsulorhexis Cystotome Handle,Secondary Knife Handle,Lens Injector Handle,Suture Needle,Needle Holder,Charleux Cannula,Primary Knife Handle,Vitrectomy Handpiece,Mendez Ring,Marker,Hydrodissection Cannula Handle,Troutman Forceps,Cotton,Iris Hooks,ssim,blpx,per_video_index,vid_num
0,Video01/Images/Video1_frame000090.png,Video01/Labels/Video1_frame000090.png,0,,,Video01,Video1_frame000090.png,42973,158714,44121,13479,30721,97773,98417,0,0,0,0,22184,0,0,0,0,4152,0,0,0,0,0,0,5866,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,Video01/Images/Video1_frame000100.png,Video01/Labels/Video1_frame000100.png,0,,,Video01,Video1_frame000100.png,42973,163756,42276,13518,30474,94945,97650,0,0,0,0,23214,0,0,0,0,5352,0,0,0,0,0,0,4242,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2,Video01/Images/Video1_frame000110.png,Video01/Labels/Video1_frame000110.png,0,,,Video01,Video1_frame000110.png,42973,161234,41618,13316,30895,93367,100243,0,0,0,0,24467,0,0,0,0,5279,0,0,0,0,0,0,5008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
3,Video01/Images/Video1_frame000120.png,Video01/Labels/Video1_frame000120.png,0,,,Video01,Video1_frame000120.png,42973,160539,41916,13785,30736,93324,99943,0,0,0,0,23873,0,0,0,0,5406,0,0,0,0,0,0,5905,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
4,Video01/Images/Video1_frame000130.png,Video01/Labels/Video1_frame000130.png,0,,,Video01,Video1_frame000130.png,42973,159518,43780,13887,30655,92299,100947,0,0,0,0,23086,0,0,0,0,5428,0,0,0,0,0,0,5827,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1
5,Video01/Images/Video1_frame000140.png,Video01/Labels/Video1_frame000140.png,0,,,Video01,Video1_frame000140.png,42973,156978,45405,14090,29472,89676,102031,0,0,0,0,25028,0,0,0,0,5421,0,0,0,0,0,0,7326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1
6,Video01/Images/Video1_frame000150.png,Video01/Labels/Video1_frame000150.png,0,,,Video01,Video1_frame000150.png,42414,152094,51421,13845,30689,85958,101996,0,0,0,0,26478,0,0,0,0,5376,0,0,0,0,0,0,8129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1
7,Video01/Images/Video1_frame000160.png,Video01/Labels/Video1_frame000160.png,0,,,Video01,Video1_frame000160.png,42414,149110,54548,13460,28842,85468,103966,0,0,0,0,27050,0,0,0,0,5360,0,0,0,0,0,0,8182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1
8,Video01/Images/Video1_frame000170.png,Video01/Labels/Video1_frame000170.png,0,,,Video01,Video1_frame000170.png,42686,148814,57727,13036,28685,82404,103231,0,0,0,0,28580,0,0,0,0,5531,0,0,0,0,0,0,7706,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1
9,Video01/Images/Video1_frame000180.png,Video01/Labels/Video1_frame000180.png,0,,,Video01,Video1_frame000180.png,42686,150019,61349,13481,30023,79913,98352,0,0,0,0,28339,0,0,0,0,5529,0,0,0,0,0,0,8709,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1
10,Video01/Images/Video1_frame000190.png,Video01/Labels/Video1_frame000190.png,0,,,Video01,Video1_frame000190.png,42194,150607,63910,14011,30430,79112,94393,0,0,0,0,28900,0,0,0,0,5504,0,0,0,0,0,0,9339,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1
11,Video01/Images/Video1_frame000200.png,Video01/Labels/Video1_frame000200.png,0,,,Video01,Video1_frame000200.png,42194,171371,25588,13723,31021,104961,102356,0,0,0,0,16079,0,0,0,0,5143,0,0,0,0,0,0,5964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1
12,Video01/Images/Video1_frame000260.png,Video01/Labels/Video1_frame000260.png,0,,,Video01,Video1_frame000260.png,42194,169312,44190,7624,29164,101990,102653,0,0,0,0,0,0,0,0,0,6009,0,0,0,0,0,0,15264,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1
13,Video01/Images/Video1_frame000270.png,Video01/Labels/Video1_frame000270.png,0,,,Video01,Video1_frame000270.png,41418,152030,59821,6811,29524,105852,101538,0,0,0,0,0,0,0,0,0,5997,0,0,0,0,0,0,15409,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1
14,Video01/Images/Video1_frame000410.png,Video01/Labels/Video1_frame000410.png,0,,,Video01,Video1_frame000410.png,41162,151229,56735,13409,30586,86084,109073,0,0,0,0,20523,9599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1
15,Video01/Images/Video1_frame000420.png,Video01/Labels/Video1_frame000420.png,0,,,Video01,Video1_frame000420.png,41138,145341,62662,12545,31080,84918,109786,0,0,0,0,21490,9440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1
16,Video01/Images/Video1_frame000430.png,Video01/Labels/Video1_frame000430.png,0,,,Video01,Video1_frame000430.png,41083,142965,68969,13070,29984,79868,108404,0,0,0,0,24110,9947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1
17,Video01/Images/Video1_frame000440.png,Video01/Labels/Video1_frame000440.png,0,,,Video01,Video1_frame000440.png,41631,160886,39080,13331,30722,92771,109408,0,0,0,0,20307,10264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1
18,Video01/Images/Video1_frame000450.png,Video01/Labels/Video1_frame000450.png,0,,,Video01,Video1_frame000450.png,41396,152091,46289,11399,30024,92862,112132,0,0,0,0,21495,10712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1
19,Video01/Images/Video1_frame000460.png,Video01/Labels/Video1_frame000460.png,0,,,Video01,Video1_frame000460.png,41327,149056,51011,11876,29189,89775,112588,0,0,0,0,22535,11043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1
20,Video01/Images/Video1_frame000470.png,Video01/Labels/Video1_frame000470.png,0,,,Video01,Video1_frame000470.png,41001,150738,53097,12306,28718,87206,111394,0,0,0,0,23216,10724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1
